groups;event;event_description
$ae;$ae_first_open;Triggered the first time a user opens the app (often for new install tracking).
$ae;$ae_iap;Triggered when an in-app purchase process occurs.
$ae;$ae_session;Indicates the start or continuation of a user session.
$ae;$ae_updated;Likely fired when the app or user data is updated.
$create_alias;$create_alias;Analytics event merging/aliasing an anonymous user profile with an identified one.
$identify;$identify;Analytics event identifying a user with an ID or traits.
account;AccountDelete;User starts or confirms account deletion.
account;AccountDelete.Error;An error occurred while deleting the account.
account;AccountSettingsScreen;User opens the Account Settings screen.
account;AccountSettingsScreenAccountDeleted;User successfully deleted account from Account Settings.
account;AccountSettingsScreenAccountDeleteError;Error deleting account from Account Settings screen.
account;AccountSettingsScreenSignOutTap;User taps to sign out from Account Settings.
add;AddEmailScreenSignInWithGoogleError;Error adding email with Google on the Add Email screen.
add;AddIntroOutroScreen;Screen for adding an intro/outro to a video.
add;AddIntroOutroScreen.added;User successfully added an intro/outro.
add;AddIntroOutroScreen.introTimeLimit;User hit a time limit for the intro/outro.
add;AddIntroOutroScreen.removed;User removed the intro/outro.
add;AddPasswordScreen;Screen for creating or editing a password. (used when oreviously used google or apple signin)
add;AddPasswordScreen.Auth.Error;Authentication error on Add Password screen.
add;AddPasswordScreen.SaveTap;User taps Save on the Add Password screen.
add;AddPasswordScreen.SaveTap.Authenticate;User is prompted to authenticate after tapping Save.
add;AddPasswordScreen.SaveTap.Close;User closes the screen after Save tap.
add;AddPasswordScreen.SaveTap.Error;Error after tapping Save on Add Password screen.
add;AddPasswordScreenSaveTap;(Duplicate) Another event for Save tap on Add Password screen.
add;AddScriptViewController;Screen to add a new script.
add;AddScriptViewController.dismiss();User dismisses Add Script view.
AI;AIGenerateTap;User taps a button to generate content (e.g., scripts) with AI.
AI;AIGeneratorError;An error occurred during AI content generation.
AI;AIScriptGenerateTap;User taps to generate a full script with AI.
allFolders.Error;allFolders.Error;Error fetching or handling all folders data.
app;app_close;App is closed or goes to background.
app;app_install;App is installed (first run after install).
app;app_launch;App launched from cold start.
app;app_open;App is opened or returned to foreground.
AppStorePromoPurchase;AppStorePromoPurchase;User made a purchase via a special App Store promo.
assigned;AssignedToCheckTrialEligibility;User is placed in a flow to check trial eligibility.
assigned;AssignedToLongOnboarding;User assigned to a longer/more detailed onboarding flow.
assigned;AssignedToNewUpgrade;User assigned to test or see a new upgrade paywall.
assigned;AssignedToNewWinback;User assigned to a winback campaign flow.
assigned;AssignedToPaywallAfterOnboarding;A paywall is shown right after onboarding.
assigned;AssignedToPaywallNoPaymentNow;Paywall flow not requiring immediate payment.
assigned;AssignedToPaywallOnAppOpen;Paywall is presented on app open.
